province,country,last_update,confirmed,suspected,recovered,deaths,date,location,is_china,active
Jilin,Mainland China,2020-01-25 00:00:00,4,0,0,0,2020-01-25,"Jilin, Mainland China",True,4
Liaoning,Mainland China,2020-01-25 00:00:00,15,0,0,0,2020-01-25,"Liaoning, Mainland China",True,15
Ningxia,Mainland China,2020-01-25 00:00:00,3,1,0,0,2020-01-25,"Ningxia, Mainland China",True,3
Qinghai,Mainland China,2020-01-25 00:00:00,0,1,0,0,2020-01-25,"Qinghai, Mainland China",True,0
Shaanxi,Mainland China,2020-01-25 00:00:00,5,0,0,0,2020-01-25,"Shaanxi, Mainland China",True,5
Shandong,Mainland China,2020-01-25 00:00:00,21,0,0,0,2020-01-25,"Shandong, Mainland China",True,21
Shanghai,Mainland China,2020-01-25 00:00:00,33,22,1,0,2020-01-25,"Shanghai, Mainland China",True,32
Shanxi,Mainland China,2020-01-25 00:00:00,6,0,0,0,2020-01-25,"Shanxi, Mainland China",True,6
Sichuan,Mainland China,2020-01-25 00:00:00,28,4,0,0,2020-01-25,"Sichuan, Mainland China",True,28
Tianjin,Mainland China,2020-01-25 00:00:00,8,0,0,0,2020-01-25,"Tianjin, Mainland China",True,8
Xinjiang,Mainland China,2020-01-25 00:00:00,3,0,0,0,2020-01-25,"Xinjiang, Mainland China",True,3
Yunnan,Mainland China,2020-01-25 00:00:00,5,0,0,0,2020-01-25,"Yunnan, Mainland China",True,5
Zhejiang,Mainland China,2020-01-25 00:00:00,62,0,1,0,2020-01-25,"Zhejiang, Mainland China",True,61
,Malaysia,2020-01-25 00:00:00,3,0,0,0,2020-01-25,Malaysia,False,3
,Nepal,2020-01-25 00:00:00,1,0,0,0,2020-01-25,Nepal,False,1
,Singapore,2020-01-25 00:00:00,3,0,0,0,2020-01-25,Singapore,False,3
,South Korea,2020-01-25 00:00:00,2,0,0,0,2020-01-25,South Korea,False,2
Taiwan,Taiwan,2020-01-25 00:00:00,3,0,0,0,2020-01-25,"Taiwan, Taiwan",False,3
,Thailand,2020-01-25 00:00:00,5,0,0,0,2020-01-25,Thailand,False,5
Illinois,US,2020-01-25 00:00:00,1,0,0,0,2020-01-25,"Illinois, US",False,1
Washington,US,2020-01-25 00:00:00,1,0,0,0,2020-01-25,"Washington, US",False,1
,Vietnam,2020-01-25 00:00:00,2,0,0,0,2020-01-25,Vietnam,False,2
,Australia,2020-01-25 12:00:00,4,0,0,0,2020-01-25,Australia,False,4
,Australia,2020-01-25 12:00:00,4,0,0,0,2020-01-25,Australia,False,4
,France,2020-01-25 12:00:00,3,0,0,0,2020-01-25,France,False,3
,France,2020-01-25 12:00:00,3,0,0,0,2020-01-25,France,False,3
Hong Kong,Hong Kong,2020-01-25 12:00:00,5,244,0,0,2020-01-25,"Hong Kong, Hong Kong",False,5
Hong Kong,Hong Kong,2020-01-25 12:00:00,5,244,0,0,2020-01-25,"Hong Kong, Hong Kong",False,5
,Japan,2020-01-25 12:00:00,2,0,0,0,2020-01-25,Japan,False,2
,Japan,2020-01-25 12:00:00,2,0,0,0,2020-01-25,Japan,False,2
Macau,Macau,2020-01-25 12:00:00,2,0,0,0,2020-01-25,"Macau, Macau",False,2
Macau,Macau,2020-01-25 12:00:00,2,0,0,0,2020-01-25,"Macau, Macau",False,2
Anhui,Mainland China,2020-01-25 12:00:00,39,4,0,0,2020-01-25,"Anhui, Mainland China",True,39
Anhui,Mainland China,2020-01-25 12:00:00,60,4,0,0,2020-01-25,"Anhui, Mainland China",True,60
Beijing,Mainland China,2020-01-25 12:00:00,41,0,2,0,2020-01-25,"Beijing, Mainland China",True,39
Beijing,Mainland China,2020-01-25 12:00:00,51,0,2,0,2020-01-25,"Beijing, Mainland China",True,49
Chongqing,Mainland China,2020-01-25 12:00:00,57,0,0,0,2020-01-25,"Chongqing, Mainland China",True,57
Chongqing,Mainland China,2020-01-25 12:00:00,75,0,0,0,2020-01-25,"Chongqing, Mainland China",True,75
Fujian,Mainland China,2020-01-25 12:00:00,18,20,0,0,2020-01-25,"Fujian, Mainland China",True,18
Fujian,Mainland China,2020-01-25 12:00:00,18,20,0,0,2020-01-25,"Fujian, Mainland China",True,18
Gansu,Mainland China,2020-01-25 12:00:00,4,0,0,0,2020-01-25,"Gansu, Mainland China",True,4
Gansu,Mainland China,2020-01-25 12:00:00,7,0,0,0,2020-01-25,"Gansu, Mainland China",True,7
Guangdong,Mainland China,2020-01-25 12:00:00,78,0,2,0,2020-01-25,"Guangdong, Mainland China",True,76
Guangdong,Mainland China,2020-01-25 12:00:00,98,0,2,0,2020-01-25,"Guangdong, Mainland China",True,96
Guangxi,Mainland China,2020-01-25 12:00:00,23,0,0,0,2020-01-25,"Guangxi, Mainland China",True,23
